steamId,price,copiesSold,publisherClass,reviewScore,aiContent
730,0,224768097,AAA,87,False
570,0,210248290,AAA,82,False
578080,0,118510778,AAA,59,False
440,0,98995776,AAA,89,False
1172470,0,63319730,AAA,67,False
271590,0,45926327,AAA,87,False
2923300,0,44459807,Indie,83,False
236390,0,40920043,AA,73,False
550,9.99,39996309,AAA,98,False
1938090,0,38434442,AAA,59,True
304930,0,32288178,Indie,91,False
230410,0,29949636,AAA,87,False
291550,0,28731668,AAA,82,False
105600,9.99,27528327,AA,98,False
4000,9.99,27070320,AAA,97,False
1222670,0,26536281,AAA,87,False
413150,14.99,25573430,AA,98,False
1085660,0,23822246,AAA,80,False
2358720,59.99,22156740,AAA,97,False
242760,19.99,21404898,AA,96,False
359550,19.99,21361833,AAA,84,False
714010,0,21212915,Indie,93,False
292030,39.99,20950273,AAA,97,False
1782210,0,20303449,Hobbyist,92,False
945360,4.99,20011703,Indie,92,False
252490,39.99,19575422,AA,87,False
620,9.99,19518686,AAA,99,False
444090,0,19382994,AA,85,False
1623730,29.99,19031390,AA,94,False
2767030,0,18028572,AA,81,False
227300,19.99,17981990,AA,98,False
1568590,0,17855675,Indie,87,False
322330,14.99,17350609,AA,96,False
1677740,0,17342118,Indie,85,False
218620,9.99,17199336,AA,90,False
438100,0,17117786,AA,76,False
346110,14.99,16922546,AA,84,False
1203220,0,16709777,AA,75,False
1174180,59.99,16112148,AAA,92,False
1599340,0,15320801,AAA,71,False
433850,0,14885282,Indie,56,False
1086940,59.99,14763723,AAA,97,False
739630,19.99,14734905,AA,96,False
1091500,59.99,14716458,AAA,84,False
477160,19.99,14216020,AA,95,False
1245620,59.99,14143087,AAA,93,False
238960,0,13982531,AA,89,False
1966720,9.99,13467041,AA,97,False
239140,19.99,12936865,AA,95,False
400,9.99,12726330,AAA,98,False
381210,19.99,12390051,AA,79,False
289070,59.99,12014173,AAA,87,False
489830,39.99,11991571,AAA,92,False
108600,19.99,11957250,AA,94,False
648800,19.99,11953373,AA,93,False
2357570,0,11658599,AA,22,False
892970,19.99,11335009,AA,94,False
466240,0,11313675,Indie,79,False
553850,39.99,11296905,AAA,76,False
284160,24.99,11286570,AA,97,False
700330,0,11241111,Hobbyist,92,False
291480,0,10970086,Indie,66,False
255710,29.99,10766353,AAA,93,False
240,9.99,10598085,AAA,96,False
49520,19.99,10472174,AAA,95,False
1665460,0,10087106,AA,47,False
386360,0,9815343,AA,79,False
1238810,49.99,9794641,AAA,71,False
1326470,29.99,9774816,AA,88,False
2073850,0,9713041,Indie,77,True
1240440,0,9424954,AAA,70,False
1625450,0,9408115,Hobbyist,94,False
107410,29.99,9342514,AA,91,False
377160,19.99,9338777,AAA,83,False
251570,44.99,9302502,AA,89,False
220,9.99,9295866,AAA,98,False
552990,0,9258772,AA,77,False
304050,0,9129186,Indie,80,False
1172620,39.99,8810439,AAA,89,False
367520,14.99,8580668,AA,97,False
823130,0,8414856,AA,88,False
582010,29.99,8359553,AAA,89,False
1426210,39.99,8287230,AAA,95,False
550650,0,8265017,Indie,76,False
1794680,4.99,8264977,Indie,98,False
588430,0,8075474,AAA,89,False
218230,0,8024140,Indie,81,False
397900,0,7977073,Indie,61,False
444200,0,7848348,AA,79,False
221100,49.99,7837162,AA,76,False
990080,59.99,7830228,AAA,90,False
1818750,0,7716073,AAA,77,False
380600,0,7624488,Indie,87,False
203160,14.99,7560900,AA,96,False
548430,29.99,7539042,AA,97,False
960090,13.99,7499413,AA,97,False
322170,4.99,7481932,Indie,93,False
3590,4.99,7457247,Indie,98,False
1237970,29.99,7452083,AAA,95,False
813820,0,7425345,AA,76,False
1046930,0,7390590,AAA,82,False
12210,19.99,7350826,AAA,82,False
204360,14.99,7242419,Indie,96,False
8930,29.99,7231624,AAA,96,False
22380,9.99,7149049,AAA,96,False
224260,0,7130962,Hobbyist,90,False
10,9.99,7023094,AAA,97,False
